"id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue"
434,2013,"Mumbai","2013-05-07","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","bat","normal",0,"Mumbai Indians",65,0,"SR Tendulkar","Wankhede Stadium"
435,2013,"Hyderabad","2013-05-08","Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Chennai Super Kings",77,0,"SK Raina","Rajiv Gandhi International Stadium, Uppal"
436,2013,"Chandigarh","2013-05-09","Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,8,"KK Cooper","Punjab Cricket Association Stadium, Mohali"
437,2013,"Pune","2013-05-09","Kolkata Knight Riders","Pune Warriors","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",46,0,"G Gambhir","Subrata Roy Sahara Stadium"
438,2013,"Delhi","2013-05-10","Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Royal Challengers Bangalore",4,0,"JD Unadkat","Feroz Shah Kotla"
439,2013,"Pune","2013-05-11","Pune Warriors","Mumbai Indians","Pune Warriors","bat","normal",0,"Mumbai Indians",0,5,"MG Johnson","Subrata Roy Sahara Stadium"
440,2013,"Chandigarh","2013-05-11","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Sunrisers Hyderabad",30,0,"PA Patel","Punjab Cricket Association Stadium, Mohali"
441,2013,"Ranchi","2013-05-12","Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,5,"JH Kallis","JSCA International Stadium Complex"
442,2013,"Jaipur","2013-05-12","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,5,"SR Watson","Sawai Mansingh Stadium"
443,2013,"Delhi","2013-04-23","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,5,"Harmeet Singh","Feroz Shah Kotla"
444,2013,"Mumbai","2013-05-13","Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","bat","normal",0,"Mumbai Indians",0,7,"KA Pollard","Wankhede Stadium"
445,2013,"Ranchi","2013-05-15","Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Pune Warriors",7,0,"MK Pandey","JSCA International Stadium Complex"
446,2013,"Chennai","2013-05-14","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",33,0,"MS Dhoni","MA Chidambaram Stadium, Chepauk"
447,2013,"Mumbai","2013-05-15","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Mumbai Indians",14,0,"AP Tare","Wankhede Stadium"
448,2013,"Chandigarh","2013-05-06","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"DA Miller","Punjab Cricket Association Stadium, Mohali"
449,2013,"Hyderabad","2013-05-17","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","bat","normal",0,"Sunrisers Hyderabad",23,0,"A Mishra","Rajiv Gandhi International Stadium, Uppal"
450,2013,"Dharamsala","2013-05-18","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Kings XI Punjab",50,0,"Azhar Mahmood","Himachal Pradesh Cricket Association Stadium"
451,2013,"Pune","2013-05-19","Pune Warriors","Delhi Daredevils","Pune Warriors","bat","normal",0,"Pune Warriors",38,0,"LJ Wright","Subrata Roy Sahara Stadium"
452,2013,"Bangalore","2013-05-18","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Royal Challengers Bangalore",24,0,"V Kohli","M Chinnaswamy Stadium"
453,2013,"Hyderabad","2013-05-19","Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","bat","normal",0,"Sunrisers Hyderabad",0,5,"PA Patel","Rajiv Gandhi International Stadium, Uppal"
454,2013,"Delhi","2013-05-21","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",48,0,"MEK Hussey","Feroz Shah Kotla"
455,2013,"Delhi","2013-05-22","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","bat","normal",0,"Rajasthan Royals",0,4,"BJ Hodge","Feroz Shah Kotla"
456,2013,"Kolkata","2013-05-24","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","normal",0,"Mumbai Indians",0,4,"Harbhajan Singh","Eden Gardens"
457,2013,"Kolkata","2013-05-26","Mumbai Indians","Chennai Super Kings","Mumbai Indians","bat","normal",0,"Mumbai Indians",23,0,"KA Pollard","Eden Gardens"
458,2014,"Abu Dhabi","2014-04-16","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",41,0,"JH Kallis","Sheikh Zayed Stadium"
459,2014,"Sharjah","2014-04-17","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,8,"YS Chahal","Sharjah Cricket Stadium"
460,2014,"Abu Dhabi","2014-04-18","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","normal",0,"Kings XI Punjab",0,6,"GJ Maxwell","Sheikh Zayed Stadium"
461,2014,"Abu Dhabi","2014-04-18","Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,4,"AM Rahane","Sheikh Zayed Stadium"
462,2014,"","2014-04-19","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,7,"PA Patel","Dubai International Cricket Stadium"
463,2014,"","2014-04-19","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","normal",0,"Delhi Daredevils",0,4,"JP Duminy","Dubai International Cricket Stadium"
464,2014,"Sharjah","2014-04-20","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,7,"GJ Maxwell","Sharjah Cricket Stadium"
465,2014,"Abu Dhabi","2014-04-21","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",93,0,"SK Raina","Sheikh Zayed Stadium"
466,2014,"Sharjah","2014-04-22","Kings XI Punjab","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Kings XI Punjab",72,0,"GJ Maxwell","Sharjah Cricket Stadium"
467,2014,"","2014-04-23","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Chennai Super Kings",7,0,"RA Jadeja","Dubai International Cricket Stadium"
468,2014,"Sharjah","2014-04-24","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Kolkata Knight Riders",2,0,"CA Lynn","Sharjah Cricket Stadium"
469,2014,"","2014-04-25","Sunrisers Hyderabad","Delhi Daredevils","Sunrisers Hyderabad","bat","normal",0,"Sunrisers Hyderabad",4,0,"AJ Finch","Dubai International Cricket Stadium"
470,2014,"","2014-04-25","Mumbai Indians","Chennai Super Kings","Mumbai Indians","bat","normal",0,"Chennai Super Kings",0,7,"MM Sharma","Dubai International Cricket Stadium"
471,2014,"Abu Dhabi","2014-04-26","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,6,"PV Tambe","Sheikh Zayed Stadium"
472,2014,"Abu Dhabi","2014-04-26","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kings XI Punjab",23,0,"Sandeep Sharma","Sheikh Zayed Stadium"
473,2014,"Sharjah","2014-04-27","Mumbai Indians","Delhi Daredevils","Mumbai Indians","bat","normal",0,"Delhi Daredevils",0,6,"M Vijay","Sharjah Cricket Stadium"
474,2014,"Sharjah","2014-04-27","Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad","bat","normal",0,"Chennai Super Kings",0,5,"DR Smith","Sharjah Cricket Stadium"
475,2014,"","2014-04-28","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,5,"Sandeep Sharma","Dubai International Cricket Stadium"
476,2014,"Abu Dhabi","2014-04-29","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","tie",0,"Rajasthan Royals",0,0,"JP Faulkner","Sheikh Zayed Stadium"
477,2014,"","2014-04-30","Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","field","normal",0,"Sunrisers Hyderabad",15,0,"B Kumar","Dubai International Cricket Stadium"
478,2014,"Ranchi","2014-05-02","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",34,0,"RA Jadeja","JSCA International Stadium Complex"
479,2014,"Mumbai","2014-05-03","Kings XI Punjab","Mumbai Indians","Kings XI Punjab","bat","normal",0,"Mumbai Indians",0,5,"CJ Anderson","Wankhede Stadium"
480,2014,"Delhi","2014-05-03","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,7,"KK Nair","Feroz Shah Kotla"
481,2014,"Bangalore","2014-05-04","Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,4,"AB de Villiers","M Chinnaswamy Stadium"
482,2014,"Ahmedabad","2014-05-05","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Rajasthan Royals",10,0,"PV Tambe","Sardar Patel Stadium, Motera"
483,2014,"Delhi","2014-05-05","Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,8,"DR Smith","Feroz Shah Kotla"
484,2014,"Mumbai","2014-05-06","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Mumbai Indians",19,0,"RG Sharma","Wankhede Stadium"
485,2014,"Delhi","2014-05-07","Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils","bat","normal",0,"Kolkata Knight Riders",0,8,"G Gambhir","Feroz Shah Kotla"
486,2014,"Cuttack","2014-05-07","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Kings XI Punjab",44,0,"GJ Maxwell","Barabati Stadium"
487,2014,"Ahmedabad","2014-05-08","Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Sunrisers Hyderabad",32,0,"B Kumar","Sardar Patel Stadium, Motera"
488,2014,"Bangalore","2014-05-09","Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Kings XI Punjab",32,0,"Sandeep Sharma","M Chinnaswamy Stadium"
489,2014,"Delhi","2014-05-10","Delhi Daredevils","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",1,"Sunrisers Hyderabad",0,8,"DW Steyn","Feroz Shah Kotla"
490,2014,"Mumbai","2014-05-10","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,4,"DR Smith","Wankhede Stadium"
491,2014,"Cuttack","2014-05-11","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,9,"G Gambhir","Barabati Stadium"
492,2014,"Bangalore","2014-05-11","Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore","bat","normal",0,"Rajasthan Royals",0,5,"JP Faulkner","M Chinnaswamy Stadium"
493,2014,"Hyderabad","2014-05-12","Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","bat","normal",0,"Mumbai Indians",0,7,"AT Rayudu","Rajiv Gandhi International Stadium, Uppal"
494,2014,"Ranchi","2014-05-13","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal",0,"Chennai Super Kings",0,5,"RA Jadeja","JSCA International Stadium Complex"
495,2014,"Bangalore","2014-05-13","Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Royal Challengers Bangalore",16,0,"Yuvraj Singh","M Chinnaswamy Stadium"
496,2014,"Hyderabad","2014-05-14","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"WP Saha","Rajiv Gandhi International Stadium, Uppal"
497,2014,"Cuttack","2014-05-14","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,6,"RV Uthappa","Barabati Stadium"
498,2014,"Ahmedabad","2014-05-15","Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Rajasthan Royals",62,0,"AM Rahane","Sardar Patel Stadium, Motera"
499,2014,"Ranchi","2014-05-18","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Royal Challengers Bangalore",0,5,"AB de Villiers","JSCA International Stadium Complex"
500,2014,"Hyderabad","2014-05-18","Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","bat","normal",0,"Kolkata Knight Riders",0,7,"UT Yadav","Rajiv Gandhi International Stadium, Uppal"
501,2014,"Ahmedabad","2014-05-19","Mumbai Indians","Rajasthan Royals","Mumbai Indians","bat","normal",0,"Mumbai Indians",25,0,"MEK Hussey","Sardar Patel Stadium, Motera"
502,2014,"Delhi","2014-05-19","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,4,"AR Patel","Feroz Shah Kotla"
503,2014,"Hyderabad","2014-05-20","Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore","bat","normal",0,"Sunrisers Hyderabad",0,7,"DA Warner","Rajiv Gandhi International Stadium, Uppal"
504,2014,"Kolkata","2014-05-20","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,8,"RV Uthappa","Eden Gardens"
505,2014,"Chandigarh","2014-05-21","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,7,"LMP Simmons","Punjab Cricket Association Stadium, Mohali"
506,2014,"Kolkata","2014-05-22","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Kolkata Knight Riders",30,0,"RV Uthappa","Eden Gardens"
507,2014,"Ranchi","2014-05-22","Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Sunrisers Hyderabad",0,6,"DA Warner","JSCA International Stadium Complex"
508,2014,"Mumbai","2014-05-23","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Mumbai Indians",15,0,"MEK Hussey","Wankhede Stadium"
509,2014,"Chandigarh","2014-05-23","Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Kings XI Punjab",16,0,"SE Marsh","Punjab Cricket Association Stadium, Mohali"
510,2014,"Bangalore","2014-05-24","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,8,"MS Dhoni","M Chinnaswamy Stadium"
511,2014,"Kolkata","2014-05-24","Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,4,"YK Pathan","Eden Gardens"
512,2014,"Chandigarh","2014-05-25","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,7,"M Vohra","Punjab Cricket Association Stadium, Mohali"
513,2014,"Mumbai","2014-05-25","Rajasthan Royals","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,5,"CJ Anderson","Wankhede Stadium"
514,2014,"Kolkata","2014-05-27","Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kolkata Knight Riders",28,0,"UT Yadav","Eden Gardens"
515,2014,"Mumbai","2014-05-28","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,7,"SK Raina","Brabourne Stadium"
516,2014,"Mumbai","2014-05-30","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Kings XI Punjab",24,0,"V Sehwag","Wankhede Stadium"
517,2014,"Bangalore","2014-06-01","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,3,"MK Pandey","M Chinnaswamy Stadium"
518,2015,"Kolkata","2015-04-08","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,7,"M Morkel","Eden Gardens"
519,2015,"Chennai","2015-04-09","Chennai Super Kings","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Chennai Super Kings",1,0,"A Nehra","MA Chidambaram Stadium, Chepauk"
520,2015,"Pune","2015-04-10","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Rajasthan Royals",26,0,"JP Faulkner","Maharashtra Cricket Association Stadium"
521,2015,"Chennai","2015-04-11","Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",45,0,"BB McCullum","MA Chidambaram Stadium, Chepauk"
522,2015,"Kolkata","2015-04-11","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,3,"CH Gayle","Eden Gardens"
523,2015,"Delhi","2015-04-12","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,3,"DJ Hooda","Feroz Shah Kotla"
524,2015,"Mumbai","2015-04-12","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Kings XI Punjab",18,0,"GJ Bailey","Wankhede Stadium"
525,2015,"Bangalore","2015-04-13","Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Sunrisers Hyderabad",0,8,"DA Warner","M Chinnaswamy Stadium"
526,2015,"Ahmedabad","2015-04-14","Mumbai Indians","Rajasthan Royals","Mumbai Indians","bat","normal",0,"Rajasthan Royals",0,7,"SPD Smith","Sardar Patel Stadium, Motera"
527,2015,"Kolkata","2015-04-30","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,7,"AD Russell","Eden Gardens"
528,2015,"Pune","2015-04-15","Kings XI Punjab","Delhi Daredevils","Kings XI Punjab","bat","normal",0,"Delhi Daredevils",0,5,"MA Agarwal","Maharashtra Cricket Association Stadium"
529,2015,"Visakhapatnam","2015-04-16","Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,6,"AM Rahane","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
530,2015,"Mumbai","2015-04-17","Mumbai Indians","Chennai Super Kings","Mumbai Indians","bat","normal",0,"Chennai Super Kings",0,6,"A Nehra","Wankhede Stadium"
531,2015,"Visakhapatnam","2015-04-18","Delhi Daredevils","Sunrisers Hyderabad","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",4,0,"JP Duminy","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
532,2015,"Pune","2015-04-18","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,4,"AD Russell","Maharashtra Cricket Association Stadium"
533,2015,"Ahmedabad","2015-04-19","Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","bat","normal",0,"Rajasthan Royals",0,8,"AM Rahane","Sardar Patel Stadium, Motera"
534,2015,"Bangalore","2015-04-19","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Mumbai Indians",18,0,"Harbhajan Singh","M Chinnaswamy Stadium"
535,2015,"Delhi","2015-04-20","Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,6,"UT Yadav","Feroz Shah Kotla"
536,2015,"Ahmedabad","2015-04-21","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","tie",0,"Kings XI Punjab",0,0,"SE Marsh","Sardar Patel Stadium, Motera"
537,2015,"Visakhapatnam","2015-04-22","Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",1,"Sunrisers Hyderabad",16,0,"DA Warner","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
538,2015,"Bangalore","2015-04-22","Chennai Super Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Chennai Super Kings",27,0,"SK Raina","M Chinnaswamy Stadium"
539,2015,"Delhi","2015-04-23","Delhi Daredevils","Mumbai Indians","Mumbai Indians","field","normal",0,"Delhi Daredevils",37,0,"SS Iyer","Feroz Shah Kotla"
540,2015,"Ahmedabad","2015-04-24","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,9,"MA Starc","Sardar Patel Stadium, Motera"
541,2015,"Mumbai","2015-04-25","Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","bat","normal",0,"Mumbai Indians",20,0,"SL Malinga","Wankhede Stadium"
542,2015,"Chennai","2015-04-25","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",97,0,"BB McCullum","MA Chidambaram Stadium, Chepauk"
543,2015,"Delhi","2015-04-26","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,10,"VR Aaron","Feroz Shah Kotla"
544,2015,"Chandigarh","2015-04-27","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Sunrisers Hyderabad",20,0,"TA Boult","Punjab Cricket Association Stadium, Mohali"
545,2015,"Kolkata","2015-05-07","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",13,0,"PP Chawla","Eden Gardens"
546,2015,"Bangalore","2015-04-29","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","no result",0,"",0,0,"","M Chinnaswamy Stadium"
547,2015,"Chennai","2015-04-28","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Chennai Super Kings",2,0,"DJ Bravo","MA Chidambaram Stadium, Chepauk"
548,2015,"Delhi","2015-05-01","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,9,"NM Coulter-Nile","Feroz Shah Kotla"
549,2015,"Mumbai","2015-05-01","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Mumbai Indians",8,0,"AT Rayudu","Wankhede Stadium"
550,2015,"Bangalore","2015-05-02","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,7,"Mandeep Singh","M Chinnaswamy Stadium"
551,2015,"Hyderabad","2015-05-02","Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Sunrisers Hyderabad",22,0,"DA Warner","Rajiv Gandhi International Stadium, Uppal"
552,2015,"Chandigarh","2015-05-03","Mumbai Indians","Kings XI Punjab","Mumbai Indians","bat","normal",0,"Mumbai Indians",23,0,"LMP Simmons","Punjab Cricket Association Stadium, Mohali"
553,2015,"Mumbai","2015-05-03","Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Rajasthan Royals",14,0,"AM Rahane","Brabourne Stadium"
554,2015,"Chennai","2015-05-04","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",24,0,"SK Raina","MA Chidambaram Stadium, Chepauk"
555,2015,"Kolkata","2015-05-04","Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Kolkata Knight Riders",35,0,"UT Yadav","Eden Gardens"
556,2015,"Mumbai","2015-05-05","Delhi Daredevils","Mumbai Indians","Delhi Daredevils","bat","normal",0,"Mumbai Indians",0,5,"Harbhajan Singh","Wankhede Stadium"
557,2015,"Bangalore","2015-05-06","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Royal Challengers Bangalore",138,0,"CH Gayle","M Chinnaswamy Stadium"
558,2015,"Mumbai","2015-05-07","Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Sunrisers Hyderabad",7,0,"EJG Morgan","Brabourne Stadium"
559,2015,"Chennai","2015-05-08","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","normal",0,"Mumbai Indians",0,6,"HH Pandya","MA Chidambaram Stadium, Chepauk"
560,2015,"Kolkata","2015-05-09","Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat","normal",0,"Kolkata Knight Riders",0,1,"AD Russell","Eden Gardens"
561,2015,"Raipur","2015-05-09","Sunrisers Hyderabad","Delhi Daredevils","Sunrisers Hyderabad","bat","normal",0,"Sunrisers Hyderabad",6,0,"MC Henriques","Shaheed Veer Narayan Singh International Stadium"
562,2015,"Mumbai","2015-05-10","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",39,0,"AB de Villiers","Wankhede Stadium"
563,2015,"Chennai","2015-05-10","Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",12,0,"RA Jadeja","MA Chidambaram Stadium, Chepauk"
564,2015,"Hyderabad","2015-05-11","Sunrisers Hyderabad","Kings XI Punjab","Sunrisers Hyderabad","bat","normal",0,"Sunrisers Hyderabad",5,0,"DA Warner","Rajiv Gandhi International Stadium, Uppal"
565,2015,"Raipur","2015-05-12","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal",0,"Delhi Daredevils",0,6,"Z Khan","Shaheed Veer Narayan Singh International Stadium"
566,2015,"Chandigarh","2015-05-13","Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Kings XI Punjab",22,0,"AR Patel","Punjab Cricket Association Stadium, Mohali"
567,2015,"Mumbai","2015-05-14","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Mumbai Indians",5,0,"HH Pandya","Wankhede Stadium"
568,2015,"Hyderabad","2015-05-15","Sunrisers Hyderabad","Royal Challengers Bangalore","Sunrisers Hyderabad","bat","normal",1,"Royal Challengers Bangalore",0,6,"V Kohli","Rajiv Gandhi International Stadium, Uppal"
569,2015,"Chandigarh","2015-05-16","Kings XI Punjab","Chennai Super Kings","Kings XI Punjab","bat","normal",0,"Chennai Super Kings",0,7,"P Negi","Punjab Cricket Association Stadium, Mohali"
570,2015,"Mumbai","2015-05-16","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",9,0,"SR Watson","Brabourne Stadium"
571,2015,"Bangalore","2015-05-17","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","no result",0,"",0,0,"","M Chinnaswamy Stadium"
572,2015,"Hyderabad","2015-05-17","Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","bat","normal",0,"Mumbai Indians",0,9,"MJ McClenaghan","Rajiv Gandhi International Stadium, Uppal"
573,2015,"Mumbai","2015-05-19","Mumbai Indians","Chennai Super Kings","Mumbai Indians","bat","normal",0,"Mumbai Indians",25,0,"KA Pollard","Wankhede Stadium"
574,2015,"Pune","2015-05-20","Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",71,0,"AB de Villiers","Maharashtra Cricket Association Stadium"
